time,playerPosX,playerPosY,playerVelMod,playerVelDir,playerRowVelMod,playerRowVelDir,targetPosX,targetPosY,label
<<<<<<< HEAD
2.230480,2436.861816,-1082.712158,1356.483984,-0.412262,2052.398162,-0.416736,2638.000000,-1172.000000,1
2.239350,2454.252441,-1090.301270,1294.819491,-0.417780,1976.546208,-0.414227,2638.000000,-1172.000000,1
2.266420,2471.304199,-1096.509644,1233.175427,-0.418375,1902.908048,-0.412393,2638.000000,-1172.000000,1
2.288315,2487.033936,-1103.521362,1171.502598,-0.425232,1830.992726,-0.410878,2638.000000,-1172.000000,1
2.296208,2501.553955,-1111.017334,1109.858542,-0.425846,1760.074648,-0.410288,2638.000000,-1172.000000,1
2.326122,2516.057861,-1116.369385,1048.197656,-0.420303,1689.774623,-0.410210,2638.000000,-1172.000000,1
2.348112,2528.820312,-1123.104614,986.522756,-0.428002,1618.409524,-0.410598,2638.000000,-1172.000000,1
2.369461,2541.576904,-1127.646851,924.855142,-0.421059,1547.424609,-0.411559,2638.000000,-1172.000000,1
2.377082,2553.108154,-1132.617432,863.164440,-0.431126,1476.657520,-0.412618,2638.000000,-1172.000000,1
2.402156,2563.368652,-1138.109985,801.516077,-0.434365,1406.038183,-0.413840,2638.000000,-1172.000000,1
2.430836,2573.445312,-1141.611572,739.845899,-0.426257,1334.440856,-0.414426,2638.000000,-1172.000000,1
2.457002,2581.838623,-1146.298218,678.132544,-0.439966,1261.661895,-0.414976,2638.000000,-1172.000000,1
2.483090,2590.026123,-1149.193970,616.449337,-0.429190,1189.297525,-0.415954,2638.000000,-1172.000000,1
2.508471,2597.057129,-1152.345825,554.740059,-0.443762,1117.355408,-0.417274,2638.000000,-1172.000000,1
2.519046,2602.904297,-1155.815674,493.092239,-0.447552,1045.795384,-0.419193,2638.000000,-1172.000000,1
2.539246,2608.201904,-1158.244141,431.389435,-0.432086,974.444898,-0.420989,2638.000000,-1172.000000,1
2.566089,2612.559570,-1160.231934,369.745565,-0.432488,901.668991,-0.422933,2638.000000,-1172.000000,1
2.594734,2615.914062,-1161.866333,308.101619,-0.433261,827.445832,-0.426340,2638.000000,-1172.000000,1
2.620400,2618.655762,-1162.307251,246.456313,-0.430172,751.986819,-0.429686,2638.000000,-1172.000000,1
2.752096,2620.266357,-1162.875000,184.667273,-0.464500,677.301009,-0.431445,2638.000000,-1172.000000,1
2.767982,2622.406006,-1164.249756,245.953038,-0.475227,605.382557,-0.432215,2638.000000,-1172.000000,1
2.782310,2623.615479,-1164.996460,171.957698,-0.461246,533.692901,-0.432989,2638.000000,-1172.000000,1
2.805198,2625.331299,-1166.385254,208.927117,-0.453097,468.104531,-0.435435,2638.000000,-1172.000000,1
2.821942,2626.675537,-1166.970703,122.483731,-0.417183,410.917716,-0.438675,2638.000000,-1172.000000,1
2.837873,2628.020752,-1167.670532,144.929634,-0.417944,362.034591,-0.441951,2638.000000,-1172.000000,1
2.863777,2628.444824,-1167.505249,61.418812,-0.409340,320.809449,-0.446213,2638.000000,-1172.000000,1
2.888781,2628.898926,-1167.718750,89.399320,-0.439688,281.607877,-0.452836,2638.000000,-1172.000000,1
2.921934,2629.240234,-1168.128052,107.111676,-0.439698,241.318000,-0.457833,2638.000000,-1172.000000,1
2.945719,2629.778809,-1168.429565,116.758718,-0.416194,202.920133,-0.459813,2638.000000,-1172.000000,1
2.965575,2629.587158,-1168.559082,36.894543,-0.409718,171.545491,-0.458417,2638.000000,-1172.000000,1
2.975723,2630.346436,-1168.748047,66.423039,-0.388248,148.917574,-0.452828,2638.000000,-1172.000000,1
3.006583,2630.846191,-1168.884155,82.575795,-0.401781,128.435854,-0.444005,2638.000000,-1172.000000,1
